Institution Name Primary,Identification Number Primary,Type,Event Date,Event Type,Institution Name (Secondary),Identification Number (Secondary)
Empire State Bank (1888-12/1896),8000343,Former Bank/Trust Company,18880000,Established,Empire State Bank (1888-12/1896),
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19661201,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19040301,Name Change To,Empire Trust Company,
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19040301,Merge To State,McVickar Realty Trust Company,8000018
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19020000,Bank To Trust Co.,Empire State Trust Company,
Empire State Bank (1901-1902),8000362,Former Bank/Trust Company,19010000,Established,Empire State Bank (1901-1902),
Empire State Central Credit Union,3,Credit Unions,20070712,Convert Federal,Excelsior Federal Credit Union,
Empire State Central Credit Union,3,Credit Unions,19780601,Name Change To,Excelsior Credit Union,
Empire State Central Credit Union,3,Credit Unions,19780601,Merge To State,Borough of Brooklyn Credit Union,460508
Empire State Central Credit Union,3,Credit Unions,19711018,NYS Chartered,Empire State Central Credit Union,
Empire State Credit Union,461906,Credit Unions,20150603,Convert Federal,Rockland Employees Federal Credit Union,
Empire State Credit Union,461906,Credit Unions,19970611,Name Change To,Empire State Credit Union,
Empire State Credit Union,8300303,Former Credit Union,19320000,Closed,,
Empire State Credit Union,461906,Credit Unions,19200830,NYS Chartered,Spring Valley Credit Union,
Empire State Credit Union,8300303,Former Credit Union,19160000,NYS Chartered,Empire State Credit Union,
Empire State Savings Bank,8100078,Former Savings Bank,19020101,Closed,,
Empire State Savings Bank,8100078,Former Savings Bank,18920901,Name Change To,Empire State Savings Bank,
Empire State Savings Bank,8100078,Former Savings Bank,18670425,NYS Chartered,National Savings Bank of Buffalo,
Empire State Trust Company,8000362,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
Empire State Trust Company,8000362,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
Empire State Trust Company,8000362,Former Bank/Trust Company,19661201,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
Empire State Trust Company,8000362,Former Bank/Trust Company,19040301,Merge To State,McVickar Realty Trust Company,8000018
Empire State Trust Company,8000362,Former Bank/Trust Company,19040301,Name Change To,Empire Trust Company,
Empire State Trust Company,8000362,Former Bank/Trust Company,19020000,Bank To Trust Co.,Empire State Trust Company,
Empire State Trust Company,8000362,Former Bank/Trust Company,19010000,Established,Empire State Bank (1901-1902),
Empire Trust Company,8000018,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
Empire Trust Company,8000018,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
Empire Trust Company,8000018,Former Bank/Trust Company,19661201,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
Empire Trust Company,8000018,Former Bank/Trust Company,19240701,Acquire By Merger,Hudson Trust Company,8000365
Empire Trust Company,8000018,Former Bank/Trust Company,19130201,Acquire By Merger,Windsor Trust Company,8000367
Empire Trust Company,8000018,Former Bank/Trust Company,19130201,Acquire By Merger,Guardian Trust Company of New York,8000364
Empire Trust Company,8000018,Former Bank/Trust Company,19040301,Acquire By Merger,Empire State Trust Company,8000362
Empire Trust Company,8000018,Former Bank/Trust Company,19040301,Name Change To,Empire Trust Company,
Empire Trust Company,8000018,Former Bank/Trust Company,19020000,Established,McVickar Realty Trust Company,
Employees Credit Union of Quakermaid #2,8300107,Former Credit Union,19621221,Liquidated,,
Employees Credit Union of Quakermaid #2,8300107,Former Credit Union,19600000,Name Change To,Employees Credit Union of Quakermaid #2,
Employees Credit Union of Quakermaid #2,8300107,Former Credit Union,19390224,NYS Chartered,"Quaker Maid Co., Inc. Factory #2 Emp Credit Union",
Employees' CU of James McCreery & Co.,8200300,Former Savings and Loan,19300000,Liquidated,,
Employees' CU of James McCreery & Co.,8200300,Former Savings and Loan,19210620,NYS Chartered,Employees' CU of James McCreery & Co.,
Endicott Bank of New York,8000102,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
Endicott Bank of New York,8000102,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
Endicott Bank of New York,8000102,Former Bank/Trust Company,19760101,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
Endicott Bank of New York,8000102,Former Bank/Trust Company,19750101,Name Change To,Bank of New York Southern Tier,
Endicott Bank of New York,8000102,Former Bank/Trust Company,19690501,Convert State,Endicott Bank of New York,
Endicott Bank of New York,8000102,Former Bank/Trust Company,19260000,Established,Endicott National Bank,
Endicott National Bank,8500054,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
Endicott National Bank,8500054,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
Endicott National Bank,8500054,Former Bank/Trust Company,19760101,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
Endicott National Bank,8500054,Former Bank/Trust Company,19750101,Name Change To,Bank of New York Southern Tier,
Endicott National Bank,8500054,Former Bank/Trust Company,19690501,Convert State,Endicott Bank of New York,8000102
Endicott National Bank,8500054,Former Bank/Trust Company,19260000,Established,Endicott National Bank,
Endicott Trust Company,105003,Trust Company,19920701,Merge To State,Manufacturers and Traders Trust Company,113003
Endicott Trust Company,105003,Trust Company,19300324,Name Change To,Endicott Trust Company,
Endicott Trust Company,105003,Trust Company,19191108,NYS Chartered,State Bank of Endicott,
Enterprise Credit Union,8300108,Former Credit Union,19750529,Liquidated,,
Enterprise Credit Union,8300108,Former Credit Union,19330323,NYS Chartered,Enterprise Credit Union,
Enterprise Savings and Loan Association,11,Savings & Loans,19950914,Liquidated,,
Enterprise Savings and Loan Association,11,Savings & Loans,19380122,Name Change To,American Savings and Loan Association,
Enterprise Savings and Loan Association,11,Savings & Loans,19371001,Merge To State,American Cooperative Savings and Loan Association,301003
Enterprise Savings and Loan Association,11,Savings & Loans,19180600,Name Change To,Enterprise Savings & Loan Association,
Enterprise Savings and Loan Association,11,Savings & Loans,18880607,NYS Chartered,German-American Building & Loan Assoc of NY City,
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19920901,Convert Federal,"Home Savings of America, Bowery Division, FSB",270018
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19920420,Name Change To,"Home Savings of America, Bowery Division, SSB",
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19851001,Merge To State,"Bowery Savings Bank, The",202002
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19800211,Merge To State,Bowery Savings Bank (5/1834-10/1985),8100165
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19800211,Converted To,Equitable Savings & Loan Association of New York,
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19651222,Convert Federal,Equitable Federal Savings & Loan Assoc of New York,
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19551128,Name Change To,Equitable Savings & Loan Association,
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19450409,Merge To State,South Brooklyn Savings & Loan Association,8200362
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,19391128,Name Change To,Equitable Savings & Loan Assoc (1939-1945),
Equitable Co-Operative Building & Loan Assoc,8200039,Former Savings and Loan,18880604,NYS Chartered,Equitable Co-Operative Building & Loan Assoc,
Equitable Credit Union,460506,Credit Unions,19910522,Convert Federal,Financial Assurance Federal Credit Union,
Equitable Credit Union,460506,Credit Unions,19151228,NYS Chartered,Equitable Credit Union,
Equitable Savings Institution,8100097,Former Savings Bank,18800101,Closed,,
Equitable Savings Institution,8100097,Former Savings Bank,18690000,Established,Equitable Savings Institution,
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19920901,Convert Federal,"Home Savings of America, Bowery Division, FSB",270018
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19920420,Name Change To,"Home Savings of America, Bowery Division, SSB",
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19851001,Merge To State,"Bowery Savings Bank, The",202002
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19800211,Converted To,Equitable Savings & Loan Association of New York,
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19800211,Merge To State,Bowery Savings Bank (5/1834-10/1985),8100165
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19651222,Convert Federal,Equitable Federal Savings & Loan Assoc of New York,
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19551128,Name Change To,Equitable Savings & Loan Association,
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19450409,Merge To State,South Brooklyn Savings & Loan Association,8200362
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,19391128,Name Change To,Equitable Savings & Loan Assoc (1939-1945),
Equitable Savings & Loan Assoc (1939-1945),8200039,Former Savings and Loan,18880604,NYS Chartered,Equitable Co-Operative Building & Loan Assoc,
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19920901,Convert Federal,"Home Savings of America, Bowery Division, FSB",270018
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19920420,Name Change To,"Home Savings of America, Bowery Division, SSB",
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19851001,Merge To State,"Bowery Savings Bank, The",202002
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19800211,Converted To,Equitable Savings & Loan Association of New York,
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19800211,Merge To State,Bowery Savings Bank (5/1834-10/1985),8100165
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19651222,Convert Federal,Equitable Federal Savings & Loan Assoc of New York,
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19580707,Acquire By Merger,Brooklyn-NY Savings & Loan Association,8200187
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19551128,Name Change To,Equitable Savings & Loan Association,
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19450409,Acquire By Merger,Equitable Savings & Loan Assoc (1939-1945),8200039
Equitable Savings & Loan Association,8200362,Former Savings and Loan,19430701,Acquire By Merger,Prospect Savings & Loan Association,8200198
Equitable Savings & Loan Association,8200362,Former Savings and Loan,18860511,NYS Chartered,South Brooklyn Savings & Loan Association,
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19960714,Merge To State,Chemical Bank,103011
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19650901,Convert Federal,"Chase Manhattan Bank, N.A., The",5800033
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19550301,Merge To State,President and Directors of the Manhattan Company,8000257
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19550301,Name Change To,"Chase Manhattan Bank, The (1799-9/1965)",
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19300501,Merge To Federal,Chase National Bank of the City of New York,8500003
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19290901,Acquire By Merger,Seaboard Bank of the City of New York,8000321
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19230601,Acquire By Merger,"Importers and Traders Bank of New York, The",8000315
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19120201,Acquire By Merger,Trust Company of America (5/1905-2/1912),8000299
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19110601,Acquire By Merger,Madison Trust Company,8000318
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19090301,Acquire By Merger,Bowling Green Trust Company,8000301
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,19020501,Name Change To,Equitable Trust Company of New York (1871-5/1930),
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,18950501,Name Change To,American Deposit and Loan Company,
Equitable Trust Company of New York(1871-5/1930),8000296,Former Bank/Trust Company,18710000,Established,Traders Deposit Company,
Equitable Trust Company of New York (1930-1937),127,Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
Equitable Trust Company of New York (1930-1937),127,Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
Equitable Trust Company of New York (1930-1937),127,Trust Company,19920619,Merge To State,Chemical Bank,103011
Equitable Trust Company of New York (1930-1937),127,Trust Company,19610908,Name Change To,Manufacturers Hanover Trust Company,
Equitable Trust Company of New York (1930-1937),127,Trust Company,19370605,Merge To State,Manufacturers Trust Company,113004
Equitable Trust Company of New York (1930-1937),127,Trust Company,19311201,Acquire By Merger,American Express Bank and Trust Company,8000297
Equitable Trust Company of New York (1930-1937),127,Trust Company,19300619,NYS Chartered,Equitable Trust Company of New York (1930-1937),
Equity Co-Operative Savings & Loan Assoc.,8200203,Former Savings and Loan,19350321,Convert Federal,Equity Federal Savings & Loan Assoc. of Rochester,
Equity Co-Operative Savings & Loan Assoc.,8200203,Former Savings and Loan,18941013,NYS Chartered,Equity Co-Operative Savings & Loan Assoc.,
Equity Credit Union,8300353,Former Credit Union,19361228,Closed,,
Equity Credit Union,8300353,Former Credit Union,19220610,NYS Chartered,Equity Credit Union,
Equity Federal Savings & Loan Assoc of Rochester,8200203,Former Savings and Loan,19350321,Convert Federal,Equity Federal Savings & Loan Assoc. of Rochester,
Equity Federal Savings & Loan Assoc of Rochester,8200203,Former Savings and Loan,18941013,NYS Chartered,Equity Co-Operative Savings & Loan Assoc.,
Erasmus State Bank,8000461,Former Bank/Trust Company,19310630,Closed,,
Erasmus State Bank,8000461,Former Bank/Trust Company,19291130,Bank To Trust Co.,Globe Bank and Trust Company,
Erasmus State Bank,8000461,Former Bank/Trust Company,19290919,Merge To State,Globe Exchange Bank,8000429
Erasmus State Bank,8000461,Former Bank/Trust Company,19260000,Established,Erasmus State Bank,
Erie County Dentists Credit Union,8300109,Former Credit Union,19510625,Liquidated,,
Erie County Dentists Credit Union,8300109,Former Credit Union,19340906,NYS Chartered,Erie County Dentists Credit Union,
Erie County Employees Credit Union,460507,Credit Unions,19920625,Acquire By Merger,A. T. & M. Corp. Employees Credit Union,460101
Erie County Employees Credit Union,460507,Credit Unions,19430208,Name Change To,Erie County Employees Credit Union,
Erie County Employees Credit Union,460507,Credit Unions,19400313,NYS Chartered,Erie County Social Welfare Credit Union,
Erie County Savings Bank,8100028,Former Savings Bank,19820701,Name Change To,"Empire Savings Bank, FSB",8600000
Erie County Savings Bank,8100028,Former Savings Bank,19810626,Convert Federal,"Erie Savings Bank, FSB",8600000
Erie County Savings Bank,8100028,Former Savings Bank,19791031,Acquire By Merger,Fredonia Savings & Loan Association,8200051
Erie County Savings Bank,8100028,Former Savings Bank,19770919,Name Change To,Erie Savings Bank,
Erie County Savings Bank,8100028,Former Savings Bank,19761231,Acquire By Merger,Olean Savings & Loan Association,8200090
Erie County Savings Bank,8100028,Former Savings Bank,19740430,Acquire By Merger,Frontier Savings & Loan Association,8200054
Erie County Savings Bank,8100028,Former Savings Bank,18540410,NYS Chartered,Erie County Savings Bank,
Erie County Social Welfare Credit Union,460507,Credit Unions,19920625,Acquire By Merger,A. T. & M. Corp. Employees Credit Union,460101
Erie County Social Welfare Credit Union,460507,Credit Unions,19430208,Name Change To,Erie County Employees Credit Union,
Erie County Social Welfare Credit Union,460507,Credit Unions,19400313,NYS Chartered,Erie County Social Welfare Credit Union,
Erie County Trust Company,8000095,Former Bank/Trust Company,19971113,Merge To Federal,Fleet Bank N.A.,5801998
Erie County Trust Company,8000095,Former Bank/Trust Company,19940701,Name Change To,Fleet Bank,
Erie County Trust Company,8000095,Former Bank/Trust Company,19921001,Merge To State,Fleet Bank of New York,114025
Erie County Trust Company,8000095,Former Bank/Trust Company,19920101,Name Change To,"Fleet Bank of New York, N.A.",
Erie County Trust Company,8000095,Former Bank/Trust Company,19850101,Name Change To,"Norstar Bank, N.A.",
Erie County Trust Company,8000095,Former Bank/Trust Company,19820901,Name Change To,Liberty National Bank,
Erie County Trust Company,8000095,Former Bank/Trust Company,19630401,Convert Federal,Liberty National Bank and Trust Company,170048
Erie County Trust Company,8000095,Former Bank/Trust Company,19610401,Merge To State,Liberty Bank and Trust Company,8000072
Erie County Trust Company,8000095,Former Bank/Trust Company,19160000,Established,Erie County Trust Company,
Erie Federal Savings & Loan Association,203,Savings & Loans,19980623,Liquidated,,
Erie Federal Savings & Loan Association,203,Savings & Loans,19960628,Branches Sold To,Marine Midland Bank,5800183
Erie Federal Savings & Loan Association,203,Savings & Loans,19881012,Name Change To,River Bank America,
Erie Federal Savings & Loan Association,203,Savings & Loans,19780331,Merge To State,East River Savings Bank,218013
Erie Federal Savings & Loan Association,203,Savings & Loans,19780331,Converted To,Erie Savings & Loan Association,
Erie Federal Savings & Loan Association,203,Savings & Loans,19520701,Convert Federal,Erie Federal Savings & Loan Association,
Erie Federal Savings & Loan Association,203,Savings & Loans,19500517,Acquire By Merger,North Main Savings & Loan Association,8200131
Erie Federal Savings & Loan Association,203,Savings & Loans,19410724,Acquire By Merger,People's Dime Savings & Loan Association No. 2,8200171
Erie Federal Savings & Loan Association,203,Savings & Loans,19391002,Acquire By Merger,Security Savings & Loan Association of Buffalo,8200176
Erie Federal Savings & Loan Association,203,Savings & Loans,18831221,NYS Chartered,Erie Savings & Loan Association,
Erie Savings Bank,8100028,Former Savings Bank,19820701,Name Change To,"Empire Savings Bank, FSB",8600000
Erie Savings Bank,8100028,Former Savings Bank,19810626,Convert Federal,"Erie Savings Bank, FSB",8600000
Erie Savings Bank,8100028,Former Savings Bank,19791031,Acquire By Merger,Fredonia Savings & Loan Association,8200051
Erie Savings Bank,8100028,Former Savings Bank,19770919,Name Change To,Erie Savings Bank,
Erie Savings Bank,8100028,Former Savings Bank,19761231,Acquire By Merger,Olean Savings & Loan Association,8200090
Erie Savings Bank,8100028,Former Savings Bank,19740430,Acquire By Merger,Frontier Savings & Loan Association,8200054
Erie Savings Bank,8100028,Former Savings Bank,18540410,NYS Chartered,Erie County Savings Bank,
Erie Savings & Loan Association,203,Savings & Loans,19980623,Liquidated,,
Erie Savings & Loan Association,203,Savings & Loans,19960628,Branches Sold To,Marine Midland Bank,5800183
Erie Savings & Loan Association,203,Savings & Loans,19881012,Name Change To,River Bank America,
Erie Savings & Loan Association,203,Savings & Loans,19780331,Merge To State,East River Savings Bank,218013
Erie Savings & Loan Association,203,Savings & Loans,19780331,Converted To,Erie Savings & Loan Association,
Erie Savings & Loan Association,203,Savings & Loans,19520701,Convert Federal,Erie Federal Savings & Loan Association,
Erie Savings & Loan Association,203,Savings & Loans,19500517,Acquire By Merger,North Main Savings & Loan Association,8200131
Erie Savings & Loan Association,203,Savings & Loans,19410724,Acquire By Merger,People's Dime Savings & Loan Association No. 2,8200171
Erie Savings & Loan Association,203,Savings & Loans,19391002,Acquire By Merger,Security Savings & Loan Association of Buffalo,8200176
Erie Savings & Loan Association,203,Savings & Loans,18831221,NYS Chartered,Erie Savings & Loan Association,
ESL Federal Credit Union,305002,Savings & Loans,19960201,Convert Federal,ESL Federal Credit Union,5800898
ESL Federal Credit Union,305002,Savings & Loans,19580717,Acquire By Merger,United Permanent Savings and Loan Association,13
ESL Federal Credit Union,305002,Savings & Loans,19201119,NYS Chartered,Eastman Savings & Loan Association,
Esperia Credit Union,8300099,Former Credit Union,19741217,Dissolved,,
Esperia Credit Union,8300099,Former Credit Union,19350802,NYS Chartered,Esperia Credit Union,
Eureka Co-Operative Savings & Loan Association,8200145,Former Savings and Loan,19550110,Convert Federal,Eureka Federal Savings & Loan Assoc of New York,
Eureka Co-Operative Savings & Loan Association,8200145,Former Savings and Loan,19430000,Name Change To,Eureka Savings & Loan Association,
Eureka Co-Operative Savings & Loan Association,8200145,Former Savings and Loan,18880608,NYS Chartered,Eureka Co-Operative Savings & Loan Association,
Eureka Federal Savings & Loan Assoc of New York,8200145,Former Savings and Loan,19550110,Convert Federal,Eureka Federal Savings & Loan Assoc of New York,
Eureka Federal Savings & Loan Assoc of New York,8200145,Former Savings and Loan,19430000,Name Change To,Eureka Savings & Loan Association,
Eureka Federal Savings & Loan Assoc of New York,8200145,Former Savings and Loan,18880608,NYS Chartered,Eureka Co-Operative Savings & Loan Association,
Eureka Savings & Loan Association,8200145,Former Savings and Loan,19550110,Convert Federal,Eureka Federal Savings & Loan Assoc of New York,
Eureka Savings & Loan Association,8200145,Former Savings and Loan,19430000,Name Change To,Eureka Savings & Loan Association,
Eureka Savings & Loan Association,8200145,Former Savings and Loan,18880608,NYS Chartered,Eureka Co-Operative Savings & Loan Association,
Euroclear Bank,2270178,Foreign Representative Offices,20001222,Licensed,Euroclear Bank,
Eurohypo Aktiengesellschaft,570330,Foreign Branches,20140417,Closed,,
Eurohypo Aktiengesellschaft,570330,Foreign Branches,20120901,Name Change To,Hypothekenbank Frankfurt AG,
Eurohypo Aktiengesellschaft,570330,Foreign Branches,20021217,Licensed,Eurohypo Aktiengesellschaft,
European American Bank,105007,Trust Company,20010717,Merge To Federal,Citibank N. A.,4400000
European American Bank,105007,Trust Company,20000407,Acquire By Merger,Olympian Bank,115007
European American Bank,105007,Trust Company,19841231,Name Change To,European American Bank,
European American Bank,105007,Trust Company,19841231,Acquire By Merger,European-American Banking Corporation,8000019
European American Bank,105007,Trust Company,19741008,Acquire By Merger,Franklin National Bank,5800002
European American Bank,105007,Trust Company,19680430,Name Change To,European-American Bank & Trust Company,
European American Bank,105007,Trust Company,19521212,NYS Chartered,Belgian-American Bank & Trust Company,
European-American Banking Corporation,8000019,Former Bank/Trust Company,20010717,Merge To Federal,Citibank N. A.,4400000
European-American Banking Corporation,8000019,Former Bank/Trust Company,19841231,Merge To State,European American Bank and Trust Company,105007
European-American Banking Corporation,8000019,Former Bank/Trust Company,19841231,Name Change To,European American Bank,
European-American Bank & Trust Company,105007,Trust Company,20010717,Merge To Federal,Citibank N. A.,4400000
European-American Bank & Trust Company,105007,Trust Company,20000407,Acquire By Merger,Olympian Bank,115007
European-American Bank & Trust Company,105007,Trust Company,19841231,Acquire By Merger,European-American Banking Corporation,8000019
European-American Bank & Trust Company,105007,Trust Company,19841231,Name Change To,European American Bank,
European-American Bank & Trust Company,105007,Trust Company,19741008,Acquire By Merger,Franklin National Bank,5800002
European-American Bank & Trust Company,105007,Trust Company,19680430,Name Change To,European-American Bank & Trust Company,
European-American Bank & Trust Company,105007,Trust Company,19521212,NYS Chartered,Belgian-American Bank & Trust Company,
Evergreen Bank,105015,Bank,19941205,Merge To Federal,First National Bank of Glens Falls,5800117
Evergreen Bank,105015,Bank,19941205,Name Change To,"Evergreen Bank, N.A.",
Evergreen Bank,105015,Bank,19870101,Name Change To,Evergreen Bank,
Evergreen Bank,105015,Bank,19780301,NYS Chartered,"Peoples Commercial Bank, The",
"Evergreen Bank, N.A.",5800117,Bank,19941205,Acquire By Merger,Evergreen Bank,105015
"Evergreen Bank, N.A.",5800117,Bank,19941205,Name Change To,"Evergreen Bank, N.A.",
"Evergreen Bank, N.A.",5800117,Bank,18650000,Established,First National Bank of Glens Falls,
Excelsior Credit Union,460508,Credit Unions,20070712,Convert Federal,Excelsior Federal Credit Union,
Excelsior Credit Union,460508,Credit Unions,19780601,Name Change To,Excelsior Credit Union,
Excelsior Credit Union,460508,Credit Unions,19780601,Acquire By Merger,Empire State Central Credit Union,3
Excelsior Credit Union,460508,Credit Unions,19580324,Acquire By Merger,Metropolitan Credit Union,470005
Excelsior Credit Union,460508,Credit Unions,19150722,NYS Chartered,Borough of Brooklyn Credit Union,
Excelsior Credit Union (Brooklyn),8300065,Former Credit Union,19721103,Liquidated,,
Excelsior Credit Union (Brooklyn),8300065,Former Credit Union,19260327,NYS Chartered,Excelsior Credit Union (Brooklyn),
Excelsior Empire Savings Bank,270020,Savings Banks,19951020,Liquidated,,
Excelsior Empire Savings Bank,270020,Savings Banks,19920612,LID Sold To,Ridgewood Savings Bank,218004
Excelsior Empire Savings Bank,270020,Savings Banks,19891229,Convert State,American Savings Bank,
Excelsior Empire Savings Bank,270020,Savings Banks,19830729,Convert Federal,"American Savings Bank, F.S.B.",
Excelsior Empire Savings Bank,270020,Savings Banks,19810424,Merge To State,Franklin Savings Bank of New York,201002
Excelsior Empire Savings Bank,270020,Savings Banks,19810424,Name Change To,American Savings Bank,
Excelsior Empire Savings Bank,270020,Savings Banks,19690301,Name Change To,Empire Savings Bank,
Excelsior Empire Savings Bank,270020,Savings Banks,19670630,Acquire By Merger,Empire City Savings Bank,8100135
Excelsior Empire Savings Bank,270020,Savings Banks,19670630,Name Change To,Excelsior Empire Savings Bank,
Excelsior Empire Savings Bank,270020,Savings Banks,18690000,Established,Excelsior Savings Bank,
Excelsior Savings Bank,270020,Savings Banks,19951020,Liquidated,,
Excelsior Savings Bank,270020,Savings Banks,19920612,LID Sold To,Ridgewood Savings Bank,218004
Excelsior Savings Bank,270020,Savings Banks,19891229,Convert State,American Savings Bank,
Excelsior Savings Bank,270020,Savings Banks,19830729,Convert Federal,"American Savings Bank, F.S.B.",
Excelsior Savings Bank,270020,Savings Banks,19810424,Merge To State,Franklin Savings Bank of New York,201002
Excelsior Savings Bank,270020,Savings Banks,19810424,Name Change To,American Savings Bank,
Excelsior Savings Bank,270020,Savings Banks,19690301,Name Change To,Empire Savings Bank,
Excelsior Savings Bank,270020,Savings Banks,19670630,Acquire By Merger,Empire City Savings Bank,8100135
Excelsior Savings Bank,270020,Savings Banks,19670630,Name Change To,Excelsior Empire Savings Bank,
Excelsior Savings Bank,270020,Savings Banks,18690000,Established,Excelsior Savings Bank,
Exchange Bank,8000181,Former Bank/Trust Company,19971113,Merge To Federal,Fleet Bank N.A.,5801998
Exchange Bank,8000181,Former Bank/Trust Company,19940701,Name Change To,Fleet Bank,
Exchange Bank,8000181,Former Bank/Trust Company,19921001,Merge To State,Fleet Bank of New York,114025
Exchange Bank,8000181,Former Bank/Trust Company,19920101,Name Change To,"Fleet Bank of New York, N.A.",
Exchange Bank,8000181,Former Bank/Trust Company,19850101,Name Change To,"Norstar Bank, N.A.",
Exchange Bank,8000181,Former Bank/Trust Company,19820901,Name Change To,Liberty National Bank,
Exchange Bank,8000181,Former Bank/Trust Company,19630401,Convert Federal,Liberty National Bank and Trust Company,170048
Exchange Bank,8000181,Former Bank/Trust Company,19611001,Merge To State,Liberty Bank and Trust Company,8000072
Exchange Bank,8000181,Former Bank/Trust Company,19170000,Established,Exchange Bank,
"Exchange Bank of Olean, The",8000184,Former Bank/Trust Company,19891006,Name Change To,"Bank of New York, The",
"Exchange Bank of Olean, The",8000184,Former Bank/Trust Company,19891006,Merge To State,Irving Trust Company,102015
"Exchange Bank of Olean, The",8000184,Former Bank/Trust Company,19760101,Merge To State,"Bank of New York, The (9/1922-10/1989)",8000241
"Exchange Bank of Olean, The",8000184,Former Bank/Trust Company,19690507,Converted To,"Exchange Bank of Olean, The",
"Exchange Bank of Olean, The",8000184,Former Bank/Trust Company,18780000,Established,"Exchange National Bank of Olean, The",
"Exchange Bank of Seneca Falls, N.Y.",8000214,Former Bank/Trust Company,20041113,Convert Federal,"JPMorgan Chase Bank, National Association",
"Exchange Bank of Seneca Falls, N.Y.",8000214,Former Bank/Trust Company,19960714,Name Change To,"Chase Manhattan Bank, The",
